1365,3762
767,5010
3589,8834
955,5823
2646,8351
2166,2842
6057,3493
8256,8738
8757,269
3265,5708
9439,5013
5416,4232
4084,3251
2628,2599
9504,8301
392,2089
4042,5267
936,6599
5888,9524
8059,6829
4456,343
9859,8799
1737,4063
9500,502
4129,3925
1048,9287
9463,2177
2772,5554
1793,2053
8710,8508
7798,4813
2978,9144
6188,7830
1527,6890
8159,9295
8395,518
2758,8615
5993,134
3348,5531
2988,7641
4739,2652
9084,6690
6586,8767
5275,915
603,5961
4922,4433
2011,6566
3369,5162
6973,9058
3779,3093
9909,2610
3629,2278
4352,5551
6125,1143
6381,6452
9863,8763
6079,365
1031,6476
8401,5484
8988,3886
5956,2188
9445,2932
5334,5515
7513,1132
3187,9933
6834,7393
9019,8181
7029,4494
9357,8632
8653,9321
1319,4608
7145,6695
9790,8706
3566,175
1382,9566
9423,4491
6074,4402
2122,6395
8121,1432
7768,5633
7330,5751
6247,6203
5538,641
7254,1902
1706,599
6412,1221
1781,528
3968,6463
2660,5093
1665,8005
2599,9889
6808,5355
4099,8860
4191,3738
7627,7284
4,3072
4273,3151
3627,8357
5465,1343
315,4802
9732,124
3841,7787
4685,9507
2107,8613
3473,2149
819,3739
868,4960
1348,3626
1769,8192
2672,271
6094,5784
8507,177
6750,5292
6259,186
7780,3031
9931,4318
2537,3740
1700,2763
8624,9827
2394,2766
6614,6019
7691,9286
2343,8696
8560,1384
5950,7956
721,749
1412,9581
3983,7863
624,6903
5403,5591
357,7489
6969,4705
1557,127
7148,7043
3877,2327
4919,8768
5766,2105
4385,6902
5185,7291
9926,7077
9081,4167
7285,9279
7565,8626
5188,79
5748,3285
6830,7633
7959,5147
9637,2538
4314,9956
7387,4670
3877,4380
7264,2224
2682,4410
8529,2894
26,3782
396,7653
5802,2202
1813,7296
8281,2134
6712,6296
6498,1439
4995,3110
4441,5323
5137,7626
8290,996
6171,2883
8496,6881
3214,8997
1306,2244
3480,611
6848,2799
8622,8249
5413,560
8962,6195
8954,2785
2343,5560
4743,878
8954,9972
6661,7933
795,6599
4310,8876
1646,9120
6445,9348
1091,9217
283,1144
6275,7781
7801,4430
5240,403
7051,3822
5509,7373
1699,5982
4186,205
1,9065
6441,6851
6812,331
1940,6415
7399,831
3979,2790
4196,9577
