-19682, -333,
-16302, 4441,
 18186, 10074,
 -12595, -13395,
 -10137, 8357,
 5272, 12598,
 9504, -16911,
 -10570, -15061,
 -9892, 7218,
 -387, -5362,
 -13809, 5786,
 -2508, -4143,
 13079, -11350,
 18001, 8979,
 11554, 3450,
 16636, 307,
 8432, -11236,
 16051, -6321,
 -97, -10283,
 13843, 490,
 -18311, -12760,
 16136, 15247,
 -15143, -16858,
 -4142, 14970,
 -5573, -1556,
 2827, -18428,
 -3865, -14096,
 14542, 19198,
 10136, -19901,
 15234, -1008,
 5137, 4135,
 7753, 15364,
 16242, -418,
 5080, 5710,
 -19763, 15892,
 -17078, -9607,
 7300, 2565,
 1016, 442,
 -674, 6461,
 4677, -16704,
 11023, 10516,
 13826, 711, 
 12735, 18949,
 -410, -8348,
 -1647, 17820,
 -13806, -2271,
 -10769, 19524,
 6826, 13130,
 3056, 5215,
 -13102, -4948,
